emg,ecg,,,,,
-177,467,,0.636731389,,0.031535869,63.67313891
-230,492,,0.104264826,,0.028846557,10.4264826
-170,485,,0.47150691,,0.018115285,47.150691
-62,511,,0.171592023,,0.006614944,17.15920226
80,512,,0.429505607,,0.00463474,42.95056068
49,522,,0.236793937,,0.008087569,23.67939367
117,509,,0.18646714,,0.004538409,18.64671399
204,561,,0.556847881,,-0.006508574,55.68478809
107,542,,0.586070847,,-0.016624371,58.60708469
-18,546,,0.711846895,,-0.020738979,71.18468951
-246,558,,0.544638569,,-0.021419862,54.46385688
-352,536,,0.236512632,,-0.019761194,23.65126316
-292,515,,0.063611076,,-0.015274928,6.361107587
-250,521,,0.452202492,,-0.014043147,45.22024917
-178,515,,0.570775491,,-0.017840486,57.07754914
29,496,,0.055983595,,-0.021525389,5.5983595
190,508,,0.989112035,,-0.022926945,98.91120354
200,503,,0.898411523,,-0.021783201,89.84115228
277,505,,0.260980497,,-0.01800558,26.0980497
399,528,,0.645963115,,-0.012478158,64.59631146
448,512,,0.798923825,,-0.005080478,79.89238254
475,511,,0.096565105,,0.00595295,9.656510464
240,495,,0.18419051,,0.025095667,18.41905096
-43,501,,0.638090467,,0.048213102,63.8090467
-16,515,,0.034233225,,0.055580222,3.423322544
-119,492,,0.954640851,,0.037986591,95.4640851
-120,497,,0.55453215,,0.009938608,55.45321501
-33,508,,0.762957936,,-0.012805659,76.29579365
-73,521,,0.581233997,,-0.025423423,58.12339973
-21,516,,0.427669003,,-0.027422193,42.76690031
-16,515,,0.968831631,,-0.022393906,96.88316312
8,522,,0.114582962,,-0.017632885,11.45829619
-66,519,,0.708294609,,-0.015042368,70.82946094
-142,506,,0.60429434,,-0.011545951,60.42943403
-178,487,,0.885362316,,-0.007346581,88.53623162
-220,519,,0.382860444,,-0.002593489,38.28604439
-155,494,,0.78488139,,0.002331864,78.48813902
-154,502,,0.562657567,,0.002035997,56.26575674
-126,479,,0.021008825,,-0.002839393,2.100882472
-36,503,,0.248290799,,-0.005714608,24.82907989
-99,628,,0.101442419,,-0.004937591,10.14424195
-156,757,,0.466556933,,-0.002469945,46.65569333
-35,597,,0.442729693,,0.000137659,44.27296928
79,436,,0.21956749,,0.003242859,21.95674898
120,433,,0.079078334,,0.007723426,7.907833438
33,464,,0.026192167,,0.011102266,2.619216724
6,467,,0.631857791,,0.010423267,63.18577906
-18,476,,0.215807377,,0.010851261,21.58073766
-155,496,,0.963114889,,0.018510178,96.31148888
-209,511,,0.667238789,,0.027380676,66.72387888
-180,519,,0.409284889,,0.02789502,40.92848888
-148,497,,0.276074449,,0.022626376,27.60744486
-84,526,,0.647049694,,0.017479375,64.70496939
82,533,,0.80848629,,0.014505981,80.84862904
214,528,,0.926828048,,0.012792387,92.68280479
97,566,,0.349855925,,0.007215042,34.98559246
44,547,,0.835713555,,-0.002377915,83.57135548
204,555,,0.264784792,,-0.009567442,26.47847916
204,561,,0.31320799,,-0.011709008,31.32079899
62,540,,0.311059292,,-0.015629539,31.10592923
-51,510,,0.012361221,,-0.024377409,1.236122068
-49,490,,0.573037021,,-0.030281908,57.30370206
-85,512,,0.349203436,,-0.030872067,34.92034358
-154,511,,0.838692274,,-0.030706645,83.86922735
-94,498,,0.242468241,,-0.029817137,24.24682409
-88,506,,0.939547063,,-0.024556337,93.95470634
-55,487,,0.646942294,,-0.016375382,64.69422943
5,499,,0.776078294,,-0.011276218,77.60782938
-14,504,,0.386806782,,-0.008377907,38.68067818
-60,510,,0.838688846,,-0.000920477,83.86888456
-41,507,,0.827506421,,0.013792133,82.7506421
-17,495,,0.327046098,,0.034390726,32.70460977
74,502,,0.896002442,,0.054883667,89.60024422
249,513,,0.020541192,,0.063345911,2.054119175
247,508,,0.366495081,,0.051892779,36.64950806
226,504,,0.576589996,,0.028065052,57.65899958
135,505,,0.484775133,,0.006899221,48.47751328
41,505,,0.213822405,,-0.007860037,21.38224048
18,507,,0.000552922,,-0.019606135,0.055292177
13,527,,0.300522516,,-0.025986556,30.05225157
43,515,,0.202693565,,-0.02629954,20.26935649
-82,489,,0.21961171,,-0.025258329,21.96117105
-132,495,,0.582899068,,-0.021618196,58.28990682
-47,501,,0.391993385,,-0.014435928,39.1993385
-87,506,,0.565395084,,-0.009146884,56.53950837
-131,491,,0.588544031,,-0.006160013,58.85440313
-100,494,,0.745566946,,-0.003255007,74.55669463
-84,608,,0.682564209,,-0.000663798,68.25642092
-47,751,,0.141844547,,0.002144562,14.18445473
-87,597,,0.097648121,,0.004757704,9.764812083
-101,420,,0.767502389,,0.007053319,76.75023888
-73,408,,0.23507521,,0.009751654,23.507521
-67,455,,0.695221159,,0.010566561,69.52211592
-59,468,,0.63284504,,0.009191952,63.284504
-128,475,,0.588336255,,0.008591206,58.83362547
-148,469,,0.491999903,,0.009087999,49.19999034
-168,471,,0.829241156,,0.008276874,82.9241156
-221,525,,0.752193831,,0.00567619,75.21938311
-148,498,,0.323575391,,0.003317859,32.35753912
-98,503,,0.66964054,,-6.80E-05,66.964054
-79,516,,0.151836408,,-0.005468764,15.1836408
100,528,,0.530570966,,-0.008696727,53.05709656
334,543,,0.402218362,,-0.008905491,40.22183624
554,530,,0.109014021,,-0.009130046,10.90140207
498,552,,0.553061382,,-0.009895723,55.3061382
342,536,,0.578892575,,-0.011654642,57.88925754
296,511,,0.249573702,,-0.014225742,24.95737024
123,481,,0.504785801,,-0.012702084,50.47858013
10,487,,0.60729419,,-0.008090158,60.72941904
-92,508,,0.270326823,,-0.006635201,27.03268234
-116,500,,0.461196949,,-0.007742136,46.11969492
-23,495,,0.613068817,,-0.006367464,61.30688171
20,479,,0.821765398,,0.001525722,82.17653979
22,492,,0.849716354,,0.010824089,84.97163539
-37,473,,0.489684895,,0.01648781,48.9684895
-63,503,,0.923942566,,0.019812419,92.39425665
-104,504,,0.22763834,,0.016954578,22.76383395
-227,494,,0.934409523,,0.006237852,93.44095231
-303,488,,0.379387939,,-0.004370914,37.93879385
-285,496,,0.208678422,,-0.007618548,20.86784219
-298,504,,0.425185176,,-0.00730822,42.51851756
-236,522,,0.50545074,,-0.010777035,50.54507403
-145,492,,0.33385848,,-0.015842956,33.385848
-54,531,,0.429970639,,-0.015895975,42.99706395
129,528,,0.728350807,,-0.011217657,72.83508072
220,512,,0.546921001,,-0.006490968,54.69210006
210,492,,0.901832823,,-0.003319218,90.1832823
147,510,,0.067622404,,-0.002759091,6.762240425
145,501,,0.39305627,,-0.005582972,39.30562701
127,499,,0.321540274,,-0.008048104,32.15402744
-19,514,,0.813662698,,-0.005738951,81.36626983
-110,504,,0.117927246,,0.003042166,11.79272458
-83,478,,0.183525876,,0.014740417,18.35258759
-107,574,,0.908366047,,0.021017599,90.83660473
-56,750,,0.712094979,,0.019584242,71.20949791
-1,634,,0.613279636,,0.018839728,61.32796363
-53,451,,0.275507436,,0.024112169,27.55074364
20,423,,0.64895284,,0.027512011,64.895284
90,464,,0.448913951,,0.023906003,44.89139512
137,488,,0.983294579,,0.018111162,98.32945787
98,496,,0.549976375,,0.012996947,54.99763745
67,504,,0.765709544,,0.008806565,76.57095436
85,507,,0.287401788,,0.006326337,28.74017876
-18,503,,0.497469463,,0.00475285,49.74694626
-102,521,,0.880767203,,0.003048261,88.07672032
-229,519,,0.23399346,,0.002301721,23.39934603
-294,538,,0.515955399,,0.003306704,51.59553992
-258,556,,0.434385871,,0.004247005,43.43858708
-163,574,,0.098079226,,0.002145503,9.807922586
-3,553,,0.032589759,,-0.001697752,3.258975912
104,556,,0.917594574,,-0.003657638,91.75945744
183,552,,0.510200472,,-0.005059637,51.02004723
186,537,,0.370036204,,-0.007128972,37.00362036
169,516,,0.84822763,,-0.007689542,84.82276303
155,514,,0.244002657,,-0.005484158,24.40026566
74,499,,0.632551404,,-0.001734654,63.25514041
-27,501,,0.395001811,,0.001086421,39.50018108
-64,512,,0.088345531,,0.001733507,8.834553145
-63,484,,0.961323946,,0.000749856,96.13239463
-92,516,,0.281626718,,-0.000713392,28.16267183
-39,504,,0.486154102,,-0.002774758,48.61541022
-12,510,,0.063317512,,-0.005481261,6.331751221
-31,510,,0.187574348,,-0.007780884,18.75743482
-32,516,,0.797954858,,-0.006917742,79.79548582
-25,518,,0.970517614,,-0.000532805,97.05176138
15,509,,0.08977956,,0.007780281,8.97795599
-18,523,,0.520238577,,0.011427076,52.02385771
-88,516,,0.209452159,,0.00753261,20.94521593
-82,511,,0.093453306,,8.26E-05,9.345330642
-85,538,,0.904011401,,-0.003613457,90.4011401
-80,527,,0.63874566,,-0.003648991,63.874566
-39,530,,0.466504018,,-0.005888146,46.65040185
-15,515,,0.443517889,,-0.009419867,44.35178888
-22,507,,0.207405014,,-0.011355655,20.74050145
-35,513,,0.244828406,,-0.0139045,24.48284055
-28,504,,0.44606856,,-0.016176036,44.60685596
-21,540,,0.379169997,,-0.014929959,37.91699973
3,507,,0.253907747,,-0.011309073,25.39077469
36,513,,0.308488732,,-0.0089998,30.84887323
-20,630,,0.473477546,,-0.009105315,47.3477546
-52,771,,0.658281393,,-0.010187115,65.82813935
-2,615,,0.455140706,,-0.012366557,45.51407062
9,427,,0.97465212,,-0.014842603,97.46521197
4,432,,0.423630285,,-0.015909383,42.36302851
-21,483,,0.28754125,,-0.012916115,28.75412501
8,487,,0.444034061,,-0.005559253,44.40340607
48,485,,0.748544882,,-0.000680342,74.85448823
70,512,,0.389377688,,-0.002741109,38.9377688
90,503,,0.026340971,,-0.010043799,2.634097119
80,504,,0.432480146,,-0.017277782,43.24801457
62,538,,0.146118285,,-0.020379287,14.6118285
41,548,,0.653096297,,-0.02246859,65.30962973
50,532,,0.587496106,,-0.022169421,58.74961064
16,547,,0.307795529,,-0.009110105,30.77955287
-30,563,,0.878649986,,0.013942219,87.86499863
-20,548,,0.002835769,,0.026485668,0.283576917
-4,555,,0.82421492,,0.017787874,82.42149201
-12,534,,0.654735286,,-0.000862876,65.47352864
5,551,,0.833590307,,-0.012349251,83.3590307
23,522,,0.441451015,,-0.011717835,44.1451015
-33,487,,0.2255412,,-0.009734959,22.55411996
-79,523,,0.71775622,,-0.016190869,71.77562195
-80,491,,0.985435736,,-0.028017328,98.54357364
-41,471,,0.570705324,,-0.039661387,57.07053236
-2,505,,0.392794965,,-0.045500095,39.27949655
-34,529,,0.07736279,,-0.038201726,7.736278975
15,511,,0.980458378,,-0.019066929,98.04583783
71,504,,0.115220394,,0.004874587,11.52203936
10,509,,0.253506343,,0.025061817,25.35063428
-34,515,,0.10453729,,0.034144486,10.45372902
-14,508,,0.457230397,,0.030971793,45.72303968
-32,513,,0.837489216,,0.020016291,83.74892161
-56,523,,0.39242501,,0.011802947,39.24250104
-43,502,,0.685983623,,0.014407706,68.5983623
-19,511,,0.062520584,,0.022789395,6.252058435
-8,494,,0.589423678,,0.024885955,58.94236776
-36,535,,0.958024645,,0.019702351,95.80246452
-61,526,,0.064404109,,0.012099446,6.440410884
-55,521,,0.314030162,,0.002423733,31.40301617
-21,527,,0.32676057,,-0.006610464,32.67605701
-39,482,,0.251551329,,-0.008549817,25.15513289
-48,506,,0.969877067,,-0.001682034,96.98770675
-71,517,,0.772938045,,0.006214676,77.29380453
-52,514,,0.091302119,,0.009593068,9.130211911
-18,485,,0.423243261,,0.00942777,42.32432607
-32,500,,0.083341458,,0.008592363,8.334145752
15,608,,0.403765473,,0.010163393,40.37654734
27,810,,0.917063257,,0.013316141,91.70632571
48,660,,0.789781931,,0.016424608,78.97819314
85,446,,0.130806424,,0.018884618,13.0806424
74,395,,0.050402534,,0.019627839,5.040253448
9,451,,0.008406695,,0.018714512,0.840669496
-53,472,,0.806036388,,0.017370641,80.60363878
-63,463,,0.893290579,,0.015973002,89.32905788
-67,483,,0.741421165,,0.014804337,74.14211648
-12,478,,0.619354393,,0.011921568,61.93543931
28,492,,0.957182419,,0.005633175,95.71824195
-25,494,,0.111384902,,0.001546156,11.13849023
-61,507,,0.656470046,,0.002052396,65.64700455
-46,521,,0.812196794,,0.004906446,81.21967943
-33,521,,0.010246395,,0.009535843,1.024639534
47,556,,0.959083867,,0.011537526,95.90838667
100,550,,0.07298708,,0.010978833,7.298707965
138,556,,0.271600675,,0.01353742,27.16006748
137,540,,0.969883939,,0.018165466,96.98839394
86,537,,0.373800072,,0.021569318,37.38000716
25,529,,0.086741914,,0.020870907,8.674191407
-32,507,,0.884176652,,0.01419001,88.41766521
-74,492,,0.039831965,,0.005321575,3.983196458
-134,496,,0.520344616,,-0.001517606,52.03446156
-130,502,,0.884641889,,-0.005805357,88.46418888
-100,507,,0.08776817,,-0.008958364,8.776817043
-14,487,,0.287779299,,-0.012083661,28.77792988
2,538,,0.535038245,,-0.014335378,53.50382445
-10,494,,0.979643296,,-0.01635308,97.96432961
-23,501,,0.032634359,,-0.019402032,3.263435875
-43,507,,0.871424285,,-0.020305937,87.14242852
-26,504,,0.706952675,,-0.017534526,70.69526748
-121,504,,0.307883776,,-0.012598326,30.78837759
-99,503,,0.976809546,,-0.00746806,97.68095461
-8,509,,0.703501607,,-0.005184315,70.35016067
23,519,,0.474088779,,-0.003717464,47.40887788
31,504,,0.465808972,,0.000848765,46.58089725
12,531,,0.30572435,,0.006500821,30.57243499
32,522,,0.845593725,,0.010945486,84.55937248
55,529,,0.156517749,,0.014424537,15.65177485
42,521,,0.792913036,,0.013985155,79.29130359
71,498,,0.036563427,,0.008858683,3.656342738
43,502,,0.052436173,,0.002720627,5.243617303
-29,509,,0.13592172,,-0.002649159,13.59217204
17,518,,0.30458872,,-0.006203197,30.45887198
39,511,,0.647135482,,-0.006465659,64.71354822
47,491,,0.322742811,,-0.004861165,32.27428112
39,585,,0.704960857,,-0.004665429,70.49608565
1,777,,0.586444741,,-0.005702587,58.64447413
-21,668,,0.317524232,,-0.007060514,31.75242325
-80,451,,0.173910339,,-0.00905526,17.39103387
-56,431,,0.455071884,,-0.010939812,45.50718836
-20,444,,0.198498473,,-0.01174892,19.84984728
-45,480,,0.374650612,,-0.010774988,37.46506116
-33,480,,0.218088581,,-0.008882691,21.80885809
27,502,,0.382873226,,-0.007018816,38.28732256
19,485,,0.414625655,,-0.004319584,41.46256551
-5,517,,0.666197977,,-0.001978623,66.61979773
-36,502,,0.291633466,,-0.001339783,29.16334663
-91,531,,0.524141769,,-0.001619159,52.41417688
-100,517,,0.37715031,,-0.001185168,37.715031
-132,548,,0.745365376,,0.002074044,74.53653761
-95,512,,0.717649112,,0.006156131,71.7649112
-23,561,,0.644434597,,0.005833388,64.44345965
53,543,,0.68876606,,0.00216383,68.87660604
200,537,,0.356347856,,-0.000149936,35.63478555
239,549,,0.61423501,,-0.001804184,61.42350098
176,521,,0.648148759,,-0.004944671,64.81487595
147,494,,0.855627281,,-0.00770873,85.56272814
84,493,,0.61840566,,-0.007383976,61.84056596
-41,493,,0.696674734,,-0.006364869,69.66747336
-142,478,,0.945397705,,-0.008742715,94.53977047
-235,504,,0.095709984,,-0.014267123,9.570998391
-191,490,,0.966781495,,-0.020574886,96.67814946
-159,492,,0.017102051,,-0.023882028,1.710205077
-131,492,,0.012374741,,-0.020524933,1.237474119
-28,516,,0.032506838,,-0.015650201,3.250683801
17,508,,0.195904909,,-0.0144645,19.59049092
99,499,,0.42216674,,-0.011615176,42.21667398
97,503,,0.799945081,,-0.003698347,79.99450806
35,513,,0.77329107,,0.004325825,77.32910696
17,489,,0.930566448,,0.007621791,93.05664482
-47,518,,0.766511605,,0.007130489,76.65116054
-100,510,,0.632273279,,0.003616535,63.22732786
-52,517,,0.654961425,,-0.002552323,65.49614254
-7,512,,0.347190502,,-0.005414784,34.7190502
-74,503,,0.692856495,,-0.00308455,69.28564946
-248,492,,0.875637064,,-0.000716221,87.56370639
-315,516,,0.34778416,,-3.93E-05,34.77841598
-255,508,,0.170874598,,0.001527678,17.08745983
